Tablet_ID,Batch,Weight_mg,Hardness_kp,Thickness_mm,Friability_pct
T01,Batch_A,498.2,6.5,4.1,0.22
T02,Batch_A,502.1,6.8,4.2,0.18
T03,Batch_A,495.4,6.2,4.0,0.25
T04,Batch_A,501.0,6.6,4.1,0.20
T05,Batch_A,499.5,6.4,4.1,0.19
T06,Batch_A,503.8,6.9,4.2,0.17
T07,Batch_A,497.6,6.3,4.0,0.24
T08,Batch_A,500.2,6.5,4.1,0.21
T09,Batch_A,496.9,6.1,4.0,0.23
T10,Batch_A,501.7,6.7,4.2,0.18
T11,Batch_B,512.4,7.2,4.3,0.15
T12,Batch_B,508.6,7.0,4.3,0.16
T13,Batch_B,515.1,7.4,4.4,0.14
T14,Batch_B,510.3,7.1,4.3,0.15
T15,Batch_B,509.7,7.0,4.3,0.17
T16,Batch_C,485.2,5.5,3.9,0.38
T17,Batch_C,488.0,5.8,3.9,0.35
T18,Batch_C,482.6,5.3,3.8,0.42
T19,Batch_C,487.4,5.6,3.9,0.36
T20,Batch_C,489.1,5.7,3.9,0.33
